1999998,1005924,2011126,2011344,2011342,2009859,2010900,2010907,2021953,2010920,2019889,2019935,2019990,2025718,2006586,2006605,2006447,2006604,2006376,2006361,2026088,2006396,2011959,2023266,2011992,2011977,2024610,2024624,2024695,2025477,3000923,3000451,3001891,3000869
-225.702736495264,-244.342108479123,-216.889039936012,-249.474360848278,-212.520380912668,-250.847796198454,-220.34454738347,-229.676448633629,-212.38626022575,-226.525975075308,-214.353277074225,-225.924124775466,-213.38744687899,-226.308024576614,-214.314628205065,-225.666286231376,-211.899697398352,-224.62231069038,-213.612093681369,-225.150979177436,-212.359598592544,-224.169770447711,-214.103635750822,-225.447323474242,-214.861219821729,-225.372327913909,-215.298939041242,-225.881139657733,-216.458963598222,-227.099504591655,-216.81801828508,-226.459264800687,-217.034068541828,-230.150504999821
-225.702753617868,-244.342130804711,-216.888969922227,-249.47408593061,-212.520258703055,-250.847354406078,-220.344326753861,-229.676120807578,-212.385303123968,-226.525075935757,-214.352384208102,-225.923273906592,-213.386604097945,-226.307202518087,-214.31368154248,-225.665352204781,-211.898935221074,-224.621490527323,-213.611101133052,-225.149907084893,-212.359015675754,-224.16903869584,-214.102943004555,-225.446590575223,-214.861000172091,-225.371923642686,-215.298471031177,-225.880507384051,-216.459537592671,-227.099927474217,-216.821246239551,-226.462539409464,-217.037146303192,-230.153619327292
-225.702781314834,-244.342166844054,-216.888661949961,-249.473792329635,-212.519874052239,-250.846805090844,-220.343761752763,-229.675530065877,-212.384731211381,-226.524502670602,-214.351659530651,-225.922568485581,-213.385822741166,-226.30639440567,-214.312743689512,-225.664453221959,-211.898088534736,-224.62060016432,-213.610230389995,-225.148969232877,-212.358219580765,-224.168185922276,-214.102214550673,-225.445811059869,-214.86062891521,-225.371420750461,-215.298394008638,-225.880189105778,-216.460589471522,-227.100687554234,-216.824474195653,-226.465814018836,-217.040224066165,-230.156733654962
-225.702819351172,-244.34221621041,-216.888837351355,-249.47354522911,-212.519628946119,-250.846535106703,-220.343805465758,-229.675346178185,-212.383407680557,-226.52340677754,-214.351020496204,-225.921989669864,-213.384928453863,-226.305586799219,-214.311875777254,-225.663545897781,-211.897256708965,-224.619764569269,-213.609320088222,-225.148015461517,-212.357500267893,-224.167421754186,-214.101574170544,-225.44507736874,-214.860489296167,-225.371145781816,-215.298491373285,-225.880050436243,-216.461587887122,-227.101388805287,-216.82769248884,-226.469078824582,-217.04329261588,-230.159838658496
-225.70286786332,-244.34227901822,-216.888522813668,-249.473265824115,-212.51937514413,-250.846127881861,-220.343646968256,-229.675080886274,-212.382701469397,-226.522752908376,-214.35015266951,-225.92118538036,-213.383852452405,-226.304626415792,-214.311021782217,-225.662696465057,-211.896281054708,-224.618810011054,-213.608532482196,-225.147252680808,-212.356756251769,-224.166625204652,-214.100835052444,-225.444196333724,-214.860152227625,-225.370633638857,-215.298408167405,-225.879778213454,-216.462269389658,-227.101880173785,-216.8309204482,-226.472353435144,-217.046370382065,-230.162952986563
-225.702926645113,-244.342354939988,-216.888159021666,-249.472848536445,-212.519047938721,-250.845552806774,-220.343459995888,-229.67476805003,-212.381781354921,-226.52191914067,-214.349490759805,-225.920591812657,-213.382997066933,-226.303842728254,-214.310132203866,-225.661835649295,-211.895385234764,-224.617906269841,-213.607498006038,-225.146201844438,-212.355957100028,-224.165826365959,-214.100065696436,-225.443325981221,-214.860092570707,-225.370360987446,-215.298339735803,-225.879576636809,-216.462861293734,-227.102318171677,-216.834148409192,-226.475628046301,-217.049448149859,-230.16606731483
-225.702995245091,-244.342443259319,-216.887982714194,-249.4724785511,-212.518684264219,-250.845111106717,-220.343037515659,-229.674264088556,-212.381051330536,-226.52124997389,-214.348698259448,-225.919824648094,-213.382076597543,-226.302968826775,-214.309187129566,-225.660903081972,-211.894373796828,-224.61696252208,-213.606645322019,-225.145329633301,-212.35516125337,-224.164995230673,-214.099261202481,-225.442410718569,-214.859682391398,-225.369864288944,-215.298633088439,-225.879677637502,-216.463973452034,-227.10314611423,-216.837366707255,-226.478892853827,-217.05251670438,-230.169172318959
-225.703073753439,-244.342543906858,-216.887559509968,-249.472099078416,-212.518305858138,-250.844764899224,-220.342847093335,-229.673984402166,-212.38017272893,-226.520463679205,-214.347919348833,-225.919126582637,-213.381114738777,-226.302093262656,-214.308409947362,-225.660103421982,-211.893581337606,-224.616162976586,-213.605715269179,-225.144346971909,-212.354539868319,-224.164254963085,-214.098487579389,-225.441441151597,-214.859848795337,-225.36968526816,-215.299272535715,-225.88009260761,-216.465673092631,-227.104594313646,-216.840594671505,-226.482167466174,-217.055594475385,-230.172286647624
-225.703161795035,-244.342656299842,-216.887299277124,-249.471748063326,-212.517932558742,-250.844234192533,-220.3431010505,-229.674055724983,-212.379336248845,-226.519819237311,-214.347295101769,-225.918598779592,-213.380187588235,-226.301289794629,-214.307525024989,-225.659224138551,-211.892720665006,-224.615288828185,-213.604850699523,-225.143428731673,-212.354000515105,-224.163614449356,-214.09770261405,-225.440521315191,-214.859771544831,-225.369433835118,-215.300126321744,-225.88060797263,-216.467916265872,-227.106467915013,-216.843822637387,-226.485442079116,-217.058672247999,-230.175400976488
-225.703258992649,-244.342779933231,-216.88726754141,-249.47141579786,-212.517752226839,-250.843749641568,-220.342830930501,-229.673703514773,-212.378529001106,-226.51904248852,-214.346477603066,-225.917856898291,-213.379030562316,-226.300275149521,-214.306620944289,-225.658316917344,-211.891853201548,-224.614397899559,-213.603923706149,-225.14243986148,-212.353409587129,-224.16291428281,-214.096982551972,-225.439589307452,-214.859993044741,-225.369324249748,-215.301247279604,-225.881529519457,-216.469937874402,-227.108204138895,-216.847040940324,-226.488706888421,-217.061740807326,-230.178505981211
-225.703365880368,-244.342915473445,-216.887551182304,-249.470999124416,-212.517768963374,-250.843428382492,-220.343145255688,-229.673770212972,-212.377635348144,-226.518313798067,-214.345739777829,-225.917210610562,-213.378163727038,-226.299452951892,-214.30563614876,-225.657330700497,-211.890972232297,-224.613492374714,-213.602990183121,-225.141398837975,-212.35296884697,-224.162303429967,-214.096187876883,-225.438615457906,-214.860152677265,-225.369182629007,-215.30239163515,-225.882529119821,-216.471783071197,-227.109915047476,-216.850268909464,-226.491981502553,-217.064818583151,-230.181620310473
-225.703482155167,-244.343062525552,-216.887575859524,-249.470631974418,-212.517546317675,-250.842932829449,-220.342903505983,-229.673451621769,-212.376996904729,-226.517713552771,-214.345023869872,-225.916533240272,-213.377211533654,-226.298581792434,-214.304615913365,-225.656271924029,-211.890066314866,-224.612549079182,-213.602013716334,-225.140358171884,-212.352476895601,-224.161651083724,-214.095509224578,-225.437753621144,-214.860296983622,-225.369041502005,-215.303981835326,-225.883972483899,-216.47393802567,-227.111854372218,-216.853496880235,-226.495256117281,-217.067896360585,-230.184734639933
-225.703607422212,-244.343220571045,-216.88731102424,-249.470626863958,-212.517147145095,-250.842611407945,-220.342752746319,-229.673137225803,-212.375857693248,-226.516740403998,-214.344262551825,-225.915853465441,-213.376247072066,-226.297726384925,-214.303741783684,-225.655382000547,-211.88929288309,-224.611733928595,-213.60108037034,-225.139389238179,-212.351851764382,-224.160943283007,-214.094981483733,-225.437115953522,-214.860539142657,-225.369089121992,-215.305836205163,-225.88566375639,-216.476516809354,-227.114270421623,-216.856715188047,-226.498520928365,-217.070964924718,-230.187839645251
-225.703742408005,-244.343390485194,-216.887388306335,-249.470267219678,-212.517044393039,-250.842234772243,-220.342656810214,-229.672956473875,-212.37537292626,-226.516252436744,-214.34353468675,-225.915206874026,-213.375322495093,-226.296882615157,-214.302771444985,-225.654399755282,-211.888474504978,-224.610870570173,-213.600069157343,-225.138271798802,-212.351303573261,-224.160221269912,-214.094574068014,-225.436529690184,-214.860856420502,-225.369158926391,-215.307873126422,-225.887452184011,-216.47965595062,-227.117106676199,-216.859943162075,-226.501795544281,-217.074042705364,-230.190953975109
-225.703886738783,-244.343571775516,-216.887411276193,-249.470022523742,-212.517008707035,-250.84180012418,-220.342776971169,-229.672843098837,-212.374264290374,-226.515347437748,-214.342705569495,-225.914403864861,-213.374317107907,-226.295935191872,-214.301726758755,-225.653309624644,-211.887610518326,-224.609944982806,-213.599182513276,-225.137327449278,-212.350699727662,-224.15952856305,-214.094162477645,-225.435948823238,-214.861315866635,-225.369341983017,-215.310128186806,-225.889427910607,-216.483124217203,-227.120209821935,-216.863171137735,-226.505070160793,-217.077120487618,-230.194068305165
-225.704039880071,-244.343763751653,-216.887166393762,-249.469900400497,-212.516762273927,-250.841436186987,-220.342574365974,-229.672558384593,-212.373540991506,-226.514666600872,-214.341896530525,-225.913652720077,-213.37338232779,-226.295065059567,-214.300553229585,-225.652069706827,-211.886779898387,-224.609003357087,-213.59818869944,-225.136252262533,-212.350196208966,-224.158855843805,-214.093824108032,-225.435470987276,-214.861809396636,-225.369568476993,-215.312581966434,-225.89168606191,-216.486419962285,-227.123295848516,-216.866389450422,-226.508334973656,-217.080189056556,-230.197173311079
-225.704202675362,-244.34396745611,-216.887258071088,-249.469711669786,-212.516697651274,-250.841166263703,-220.342758733063,-229.672535895326,-212.372555650022,-226.51384701825,-214.341093343889,-225.912876660315,-213.372443653251,-226.294174902213,-214.299420577435,-225.650905419377,-211.885834701536,-224.607994809838,-213.597222071197,-225.135232432151,-212.349537929528,-224.158111544926,-214.093675779258,-225.4351645614,-214.862529849292,-225.370003089869,-215.315249055297,-225.894190702911,-216.48976767925,-227.126428093373,-216.869617429339,-226.511609591356,-217.083266842022,-230.200287641532
-225.70437463767,-244.344182276606,-216.887169568403,-249.469734264553,-212.516507081244,-250.84107759202,-220.342435670949,-229.672178178618,-212.371955835435,-226.513294167666,-214.340226732056,-225.912024586983,-213.371513047091,-226.293274355862,-214.298344583575,-225.649763318747,-211.885048901448,-224.607100865476,-213.596373131466,-225.134289723912,-212.349142769376,-224.157542754138,-214.093676307814,-225.434979366422,-214.86334874765,-225.370569764108,-215.318034422871,-225.896819052908,-216.493207452103,-227.129698753979,-216.872845409888,-226.514884209652,-217.086344629096,-230.203401972185
-225.704555187156,-244.344407486361,-216.887154246169,-249.469682843998,-212.516419656958,-250.840926494465,-220.342328924837,-229.671929598365,-212.371149055501,-226.512597832058,-214.339384577186,-225.911188495294,-213.370682254864,-226.292423453242,-214.297202910009,-225.648575669863,-211.884123039751,-224.606114595482,-213.595602038645,-225.133472502006,-212.34870418519,-224.157016400749,-214.093724800427,-225.434879647215,-214.864181261565,-225.371146294208,-215.320986171052,-225.89958738517,-216.497082575561,-227.133326259685,-216.876063727448,-226.518149024294,-217.089413202839,-230.206506978692
-225.704745357131,-244.344644370323,-216.887399890295,-249.46941041395,-212.516499151183,-250.840697885576,-220.342350654048,-229.671855588152,-212.370554033613,-226.512078219419,-214.338402316431,-225.910220602695,-213.369580190151,-226.291380204775,-214.296000125289,-225.647312186078,-211.883212161916,-224.605109428615,-213.594771452247,-225.132595028038,-212.348212052835,-224.156394283929,-214.093841766386,-225.434804132892,-214.865247172935,-225.371923302855,-215.324138851396,-225.902480201939,-216.501296839629,-227.137227114728,-216.879291711254,-226.521423643778,-217.092490993125,-230.209621309742
-225.704944622288,-244.344892301022,-216.887488848922,-249.469329492195,-212.516609748332,-250.840692177874,-220.342714534325,-229.672005193747,-212.369757525614,-226.511462413059,-214.337483867955,-225.909299253293,-213.368611575657,-226.290431703289,-214.294763663961,-225.646027938066,-211.882245854701,-224.6040574875,-213.59401846572,-225.131809800001,-212.347664554233,-224.155786648728,-214.094064506446,-225.434801460807,-214.866537741649,-225.37284740009,-215.32747421705,-225.905634446988,-216.505381979856,-227.141089552873,-216.878964491755,-226.52106388924,-217.092268555385,-230.20937337967
-225.705152452563,-244.345150683199,-216.887384733902,-249.469275294545,-212.516432438317,-250.840543821223,-220.342508643179,-229.671741383066,-212.369201126194,-226.510919143218,-214.336485165039,-225.908324136488,-213.36766309308,-226.289469847758,-214.293554318395,-225.644767203624,-211.881289072524,-224.603013967629,-213.593356903229,-225.131088967295,-212.347365315936,-224.155353166957,-214.094447905067,-225.435008014245,-214.867904784107,-225.373925319943,-215.33065469472,-225.908775083572,-216.508615484359,-227.14430527962,-216.878637610198,-226.520704489038,-217.092046401163,-230.209125745668
